"ano","variavel","quantidade"
1980,"qtd_aids",0
1980,"qtd_hiv",0
1980,"qtd_prep",0
1981,"qtd_aids",0
1981,"qtd_hiv",0
1981,"qtd_prep",0
1982,"qtd_aids",0
1982,"qtd_hiv",0
1982,"qtd_prep",0
1983,"qtd_aids",0
1983,"qtd_hiv",0
1983,"qtd_prep",0
1984,"qtd_aids",0
1984,"qtd_hiv",0
1984,"qtd_prep",0
1985,"qtd_aids",0
1985,"qtd_hiv",0
1985,"qtd_prep",0
1986,"qtd_aids",2
1986,"qtd_hiv",0
1986,"qtd_prep",0
1988,"qtd_aids",15
1988,"qtd_hiv",0
1988,"qtd_prep",0
1989,"qtd_aids",12
1989,"qtd_hiv",0
1989,"qtd_prep",0
1990,"qtd_aids",0
1990,"qtd_hiv",0
1990,"qtd_prep",0
1991,"qtd_aids",15
1991,"qtd_hiv",2
1991,"qtd_prep",0
1992,"qtd_aids",32
1992,"qtd_hiv",3
1992,"qtd_prep",0
1993,"qtd_aids",13
1993,"qtd_hiv",2
1993,"qtd_prep",0
1994,"qtd_aids",4
1994,"qtd_hiv",0
1994,"qtd_prep",0
1995,"qtd_aids",24
1995,"qtd_hiv",8
1995,"qtd_prep",0
1996,"qtd_aids",16
1996,"qtd_hiv",6
1996,"qtd_prep",0
1998,"qtd_aids",18
1998,"qtd_hiv",3
1998,"qtd_prep",0
1999,"qtd_aids",58
1999,"qtd_hiv",21
1999,"qtd_prep",0
2000,"qtd_aids",27
2000,"qtd_hiv",7
2000,"qtd_prep",0
2001,"qtd_aids",42
2001,"qtd_hiv",22
2001,"qtd_prep",0
2002,"qtd_aids",4
2002,"qtd_hiv",4
2002,"qtd_prep",0
2003,"qtd_aids",7
2003,"qtd_hiv",2
2003,"qtd_prep",0
2004,"qtd_aids",6
2004,"qtd_hiv",0
2004,"qtd_prep",0
2006,"qtd_aids",3
2006,"qtd_hiv",2
2006,"qtd_prep",0
2007,"qtd_aids",2
2007,"qtd_hiv",2
2007,"qtd_prep",0
2008,"qtd_aids",1
2008,"qtd_hiv",0
2008,"qtd_prep",0
2009,"qtd_aids",3
2009,"qtd_hiv",3
2009,"qtd_prep",0
2010,"qtd_aids",0
2010,"qtd_hiv",0
2010,"qtd_prep",0
2011,"qtd_aids",3
2011,"qtd_hiv",2
2011,"qtd_prep",0
2012,"qtd_aids",2
2012,"qtd_hiv",3
2012,"qtd_prep",0
2013,"qtd_aids",0
2013,"qtd_hiv",0
2013,"qtd_prep",0
2014,"qtd_aids",4
2014,"qtd_hiv",3
2014,"qtd_prep",0
2015,"qtd_aids",1
2015,"qtd_hiv",0
2015,"qtd_prep",0
2016,"qtd_aids",1
2016,"qtd_hiv",1
2016,"qtd_prep",0
2019,"qtd_aids",2
2019,"qtd_hiv",0
2019,"qtd_prep",0
2020,"qtd_aids",1
2020,"qtd_hiv",1
2020,"qtd_prep",0
2021,"qtd_aids",0
2021,"qtd_hiv",3
2021,"qtd_prep",0
2024,"qtd_aids",1
2024,"qtd_hiv",0
2024,"qtd_prep",0
2025,"qtd_aids",1
2025,"qtd_hiv",1
2025,"qtd_prep",0
