ano,status,n,prop
2018,Descontinuou,1484,18.09976826442249
2018,Em_PrEP,6715,81.9002317355775
2019,Descontinuou,5306,28.144061953004826
2019,Em_PrEP,13327,70.6890150108736
2019,Voltou,220,1.166923036121572
2020,Descontinuou,6627,24.92759074666165
2020,Em_PrEP,18993,71.44254278728606
2020,Voltou,965,3.629866466052285
2021,Descontinuou,11073,25.256027187920534
2021,Em_PrEP,31019,70.7501767671008
2021,Voltou,1751,3.993796044978674
2022,Descontinuou,19593,27.851538067891056
2022,Em_PrEP,47944,68.15261272530847
2022,Voltou,2811,3.995849206800478
2023,Descontinuou,33227,30.020238159773044
2023,Em_PrEP,72454,65.46141197303989
2023,Voltou,5001,4.5183498671870765
2024,Descontinuou,54740,33.08092558906891
2024,Em_PrEP,101878,61.56774821269935
2024,Voltou,8855,5.351326198231735
